id,name,rarity,category,str,def,dex,agi,power,avr,ratio,caption,trash
0,棒きれ,0,1,7,0,-1,1,7,0 ,1.00 ,両手に持つとカッコいい。,0
1,かばん,0,2,0,7,3,-2,8,0 ,1.00 ,たくさん入る大きなかばん。,0
2,ほうき,0,1,6,-1,2,1,8,0 ,1.00 ,持ち手がささくれてきている普通のほうき。,0
3,ビー玉,0,3,-2,0,6,5,9,1 ,1.00 ,握るとひんやり気持ちいい。,0
4,焼きチョコ,0,4,3,2,3,2,10,1 ,1.00 ,焼き固めてあるから冒険中ポケットに入れても溶けない！,0
5,ベルマーク,1,3,-2,0,10,0,8,2 ,1.00 ,1.5点のやつだ。この世界では交換できない。,0
6,はがねのつるぎ,1,1,16,4,-6,-3,11,3 ,1.00 ,素人には重すぎて扱いづらい。でも叩けば痛い！,0
7,フロッピー,0,3,0,3,8,1,12,3 ,1.00 ,しろこのPCでは読み込めない。,0
8,透明したじき,1,2,1,12,2,7,22,4 ,1.00 ,透明な下敷き。何枚か重ねると魔法障壁になる。,0
9,ヨーヨー,0,1,8,1,5,-2,12,5 ,1.00 ,ぶつけて使う。,0
10,みかん,0,4,-2,-2,4,10,10,6 ,1.00 ,甘みたっぷり。,0
11,食品サンプル,3,3,26,17,18,19,80,7 ,1.00 ,スパゲッティが空中で巻き取られている様子のものだ。,0
12,円卓模型,0,2,2,6,3,1,12,9 ,1.00 ,誰かの忘れ物のようだ。カードも入っているのでそのまま使える。,0
13,コーヒー豆,0,4,2,14,1,5,22,10 ,1.00 ,よく炒ってある。チョコをかけてポリポリ食べる。,0
14,サーベル,0,1,17,0,0,9,26,12 ,1.00 ,刀身が反っているカタナ。よく切れる。,0
15,どうのつるぎ,1,1,41,10,-6,-2,43,13 ,1.00 ,お前その名前ではがねのつるぎより強いってどういうことだよ！,0
16,木製パチンコ,0,1,13,4,18,2,37,15 ,1.00 ,Y字の木の棒にゴムを掛けて作った簡素なパチンコ。これでも結構痛い。,0
17,缶入りドロップス,0,4,-10,31,-5,16,32,16 ,1.00 ,ふたりともハッカを引いても戻すのでハッカだらけになっている。だんだんベタベタしてきた。,0
18,100tハンマー,2,1,130,-20,-50,-20,40,18 ,1.00 ,おもい……！けど当たれば一発で昇天させるパワー全振りハンマー。,0
19,ケーブル,0,3,-3,18,31,2,48,20 ,1.00 ,少しベタついている何かのケーブル。,0
20,ジャージ,0,2,10,14,10,10,44,22 ,1.00 ,「しろこ」と刺繍のされたちょっと高級な部屋着。丈夫で柔らかくて着たまま寝ても怒られない素晴らしい服だ！,0
21,トライデント,1,1,16,-23,67,0,60,24 ,1.00 ,先の方でみつまたに分かれた槍。先のほうが重いのでぶんぶん振り回せる。,0
22,つらら,0,1,4,-14,20,43,53,26 ,1.00 ,長い時間をかけてゴツゴツと育った本場のつらら。でもすぐ折れる。,0
23,触腕,2,1,25,25,25,25,100,28 ,1.00 ,イカの持つ自在に動かせる二本の腕。万能でゲソ！,0
24,水晶玉,0,3,-20,6,25,34,45,31 ,1.00 ,紫色のシルクでできた台座付き。特に霊的な加護は何もないが占いごっこを楽しめる。,0
25,フライパン,1,1,17,87,-25,-10,69,33 ,1.00 ,叩いた時の音波で攻撃するタイプの武器。朝だよ起きてー！カンカンカンカン！,0
26,おたま,1,1,24,-5,51,-3,67,35 ,1.00 ,フライパンと一緒に使う音波兵器。カンカンカンカンカンカンカンカン！！！！,0
27,麦わら帽子,0,2,13,26,0,11,50,38 ,1.00 ,白いリボンが一回り巻いてある。,0
28,レーヴァテイン,3,1,99,-70,107,55,191,40 ,1.00 ,炎をまとう伝説の剣。「崩壊」の呪力が込められており、対象を霊的な意味でも「切断」し、種々の加護を断ち切って直接攻撃することができる。,0
29,みかん箱,0,4,5,30,30,-10,55,43 ,1.00 ,1年に1箱、まとめて買ってゆっくり食べるみかんのダンボールだ。,0
30,グラシュ,2,2,40,-20,5,99,124,46 ,1.00 ,略さず言うとアンチグラビトンシューズ。履くと空を飛べる凄い靴だが、制御が難しく慣れないうちはすっ転ぶ。,0
31,甲羅の盾,0,2,-20,97,-40,13,50,48 ,1.00 ,大きな亀の甲羅を加工して作った盾。大きすぎて扱いが難しい。,0
